canid;source_type;subtype;data_num;name;min;max;pre_min;pre_max;pos_heigth;pos_width
817.0;1.0;1.0;1.0;ДУС_Б16;15.0;40.0;20.0;30.0;371;163
817.0;1.0;1.0;2.0;БКП_Б41;15.0;40.0;20.0;30.0;256;288
817.0;1.0;1.0;3.0;СД_Б28;15.0;40.0;20.0;30.0;182;98
817.0;1.0;1.0;4.0;КТРЛ-S_Б47;15.0;40.0;20.0;30.0;247;102
817.0;1.0;1.0;5.0;УДМ_Б4;15.0;40.0;20.0;30.0;322;103
817.0;1.0;1.0;6.0;Т4;15.0;40.0;20.0;30.0;394;101
817.0;1.0;1.0;7.0;ВРЛ-Х_Б36;15.0;40.0;20.0;30.0;217;567
817.0;1.0;1.0;8.0;АРК_Б44;15.0;40.0;20.0;30.0;302;571
817.0;1.0;1.0;9.0;Кроншт. ВОГ;15.0;40.0;20.0;30.0;314;393
817.0;1.0;1.0;10.0;СД_Б7;15.0;40.0;20.0;30.0;255;440
817.0;1.0;1.0;11.0;Т5;15.0;40.0;20.0;30.0;0;0
817.0;1.0;1.0;12.0;ГНСС_АФС;15.0;40.0;20.0;30.0;416;242
817.0;1.0;1.0;13.0;Кроншт. ЗД;15.0;40.0;20.0;30.0;397;266
817.0;1.0;1.0;14.0;УДМ_Б2;15.0;40.0;20.0;30.0;397;266
817.0;1.0;1.0;15.0;Т12;15.0;40.0;20.0;30.0;397;266
817.0;1.0;1.0;16.0;АСН_Б25;15.0;40.0;20.0;30.0;297;301
817.0;1.0;1.0;17.0;АБ_Б46;15.0;40.0;20.0;30.0;406;442
817.0;1.0;1.0;18.0;МИО_Б34;15.0;40.0;20.0;30.0;448;270
817.0;1.0;1.0;19.0;СД_Б26;15.0;40.0;20.0;30.0;553;473
817.0;1.0;1.0;20.0;КТРЛ-УКВ_Б6;15.0;40.0;20.0;30.0;515;174
817.0;1.0;1.0;21.0;Т13;15.0;40.0;20.0;30.0;449;292
817.0;1.0;1.0;22.0;БУ СОТР_Б24;15.0;40.0;20.0;30.0;449;292
817.0;1.0;1.0;23.0;АФС-S_Б50;15.0;40.0;20.0;30.0;449;292
817.0;1.0;1.0;24.0;СД_Б20;15.0;40.0;20.0;30.0;449;292
817.0;1.0;1.0;25.0;Т14;15.0;40.0;20.0;30.0;260;427
817.0;1.0;1.0;26.0;Т15;15.0;40.0;20.0;30.0;313;481
817.0;1.0;1.0;27.0;Т16;15.0;40.0;20.0;30.0;281;545
817.0;1.0;1.0;28.0;Т9;15.0;40.0;20.0;30.0;277;407
817.0;1.0;1.0;29.0;Т10;15.0;40.0;20.0;30.0;358;399
817.0;1.0;1.0;30.0;Т11;15.0;40.0;20.0;30.0;437;400
817.0;1.0;1.0;31.0;Т1;15.0;40.0;20.0;30.0;386;459
817.0;1.0;1.0;32.0;Т2;15.0;40.0;20.0;30.0;255;509
817.0;1.0;1.0;33.0;Т3;15.0;40.0;20.0;30.0;397;266
817.0;1.0;1.0;34.0;Т6;15.0;40.0;20.0;30.0;401;327
817.0;1.0;1.0;35.0;Т7;15.0;40.0;20.0;30.0;401;327
817.0;1.0;1.0;36.0;Т8;15.0;40.0;20.0;30.0;292;280
817.0;1.0;3.0;1.0;НГ1;0.0;34.0;0.05;27.0;384;473
817.0;1.0;3.0;2.0;НГ2;0.0;34.0;0.05;27.0;481;349
817.0;1.0;3.0;3.0;НГ3;0.0;34.0;0.05;27.0;523;471
817.0;1.0;3.0;4.0;НГ4;0.0;34.0;0.05;27.0;0;0
817.0;1.0;3.0;5.0;НГ5.1, НГ5.2;0.0;34.0;0.05;27.0;237;413
818.0;1.0;1.0;1.0;АРК_Б44;15.0;40.0;20.0;30.0;0;0
818.0;1.0;1.0;2.0;МИО_Б33;15.0;40.0;20.0;30.0;272;436
818.0;1.0;1.0;3.0;БКП_Б42;15.0;40.0;20.0;30.0;320;519
818.0;1.0;1.0;4.0;КТРЛ-УКВ_Б5;15.0;40.0;20.0;30.0;326;509
818.0;1.0;1.0;5.0;Т12Р;15.0;40.0;20.0;30.0;349;416
818.0;1.0;1.0;6.0;КТРЛ-S_Б48;15.0;40.0;20.0;30.0;352;445
818.0;1.0;1.0;7.0;ВРЛ-Х_Б37;15.0;40.0;20.0;30.0;427;440
818.0;1.0;1.0;8.0;СД_Б8;15.0;40.0;20.0;30.0;403;585
818.0;1.0;1.0;9.0;Т13Р;15.0;40.0;20.0;30.0;403;585
818.0;1.0;1.0;10.0;Кроншт. ЗД;15.0;40.0;20.0;30.0;388;551
818.0;1.0;1.0;11.0;СД_Б27;15.0;40.0;20.0;30.0;353;482
818.0;1.0;1.0;12.0;СД_Б29;15.0;40.0;20.0;30.0;426;461
818.0;1.0;1.0;13.0;БУ ВОГ_Б23;15.0;40.0;20.0;30.0;433;516
818.0;1.0;1.0;14.0;УДМ_Б1;15.0;40.0;20.0;30.0;347;468
