canid;source_type;subtype;data_num;name;min;max;pre_min;pre_max;pos_heigth;pos_width
817;1;2;1;ТД37_А1;15;40;20.0;30;804;134
817;1;2;2;ТД38_А1;15;40;20.0;30;689;498
817;1;2;3;ТД39_А1;15;40;20.0;30;731;499
817;1;2;4;ТД40_А1;15;40;20.0;30;774;498
817;1;2;5;ТД41_А1;15;40;20.0;30;816;499
817;1;2;6;ТД42_А1;15;40;20.0;30;859;500
817;1;2;7;ТД43_А1;15;40;20.0;30;90;403
817;1;2;8;ТД44_А1;15;40;20.0;30;845;134
817;1;2;9;ТД45_А1;15;40;20.0;30;888;134
817;1;2;10;ТД46_А1;15;40;20.0;30;902;499
817;1;2;11;ТД47_А1;15;40;20.0;30;133;403
817;1;2;12;ТД48_А1;15;40;20.0;30;242;132
817;1;2;13;ТД49_А1;15;40;20.0;30;284;133
817;1;2;14;ТД50_А1;15;40;20.0;30;944;499
817;1;3;7;НГ7_A1;0;34;0.05;13;803;310
817;1;3;8;НГ8_A1;0;34;0.05;2;689;675
817;1;3;9;НГ9_A1;0;34;0.05;4;732;675
817;1;3;10;НГ10_A1;0;34;0.05;4;774;676
817;1;3;11;НГ11_A1;0;34;0.05;4;817;675
817;1;3;12;НГ12_A1;0;34;0.05;4;859;675
817;1;3;13;НГ13_A1;0;34;0.05;12;91;579
817;1;3;14;НГ14_A1;0;34;0.05;13;846;310
818;1;2;1;ТД37_А2;15;40;20.0;30;824;135
818;1;2;2;ТД38_А2;15;40;20.0;30;711;500
818;1;2;3;ТД39_А2;15;40;20.0;30;753;500
818;1;2;4;ТД40_А2;15;40;20.0;30;796;499
818;1;2;5;ТД41_А2;15;40;20.0;30;838;499
818;1;2;6;ТД42_А2;15;40;20.0;30;859;499
818;1;2;7;ТД43_А2;15;40;20.0;30;112;403
818;1;2;8;ТД44_А2;15;40;20.0;30;866;133
818;1;2;9;ТД45_А2;15;40;20.0;30;908;134
818;1;2;10;ТД46_А2;15;40;20.0;30;923;498
818;1;2;11;ТД47_А2;15;40;20.0;30;155;402
818;1;2;12;ТД48_А2;15;40;20.0;30;263;134
818;1;2;13;ТД49_А2;15;40;20.0;30;305;134
818;1;2;14;ТД50_А2;15;40;20.0;30;965;498
818;1;3;7;НГ7_A2;0;34;0.05;13;825;311
818;1;3;8;НГ8_A2;0;34;0.05;2;711;675
818;1;3;9;НГ9_A2;0;34;0.05;4;753;675
818;1;3;10;НГ10_A2;0;34;0.05;4;795;673
818;1;3;11;НГ11_A2;0;34;0.05;4;838;674
818;1;3;12;НГ12_A2;0;34;0.05;4;881;675
818;1;3;13;НГ13_A2;0;34;0.05;12;112;579
818;1;3;14;НГ14_A2;0;34;0.05;13;866;311
